Video,Frames,Valid,Orig X mean,New X mean,X diff,Orig Y mean,New Y mean,Y diff,Eucl diff,X corr,Y corr
s1_v1,1850,1849,-0.7092489539720963,-1.5205956866290118,-0.8126547612698842,7.2785715936749185,8.316933065878379,1.0399293274310848,2.335911526179111,0.31081581272830694,0.47895177469472255
s1_v2,1858,1857,-0.6411371897945924,-1.387364974832894,-0.7461934248335805,7.274629601176764,9.154179140877288,1.8814079425766017,3.0094419791185167,0.3094514051811858,0.5037862365308734
s1_v3,1855,1855,-1.7414069719787735,-1.71384007101753,0.027566900961243167,7.105905906388124,7.972426718328841,0.866520811940718,3.4776833896858315,0.2785470536576096,-0.2330328021516059
s1_v4,1855,1852,-0.5992684071944403,-1.8126692715329003,-1.2144882770532295,7.370390631747434,8.844766594188242,1.4789139629474897,3.556030195437944,0.20585250698358834,-0.2706601705655786
s2_v1,1851,1851,-0.7642104636699215,-0.1584020088583247,0.6058084548115967,6.815993239605168,10.931369445569961,4.115376205964793,4.6776206420137205,0.5963141900332988,0.4565463907619723
s2_v2,1859,1858,-1.0181288923503589,-0.19261847368294735,0.8255687646937531,7.102554078315372,10.660934768356643,3.561126836983336,4.167076623965738,0.6313423838588498,0.7883189051130589
s2_v3,1855,1853,-0.5706314551457787,0.16552563081608548,0.7350928239355363,7.128052150718301,11.151088395507285,4.022750140660772,4.459892292884244,0.6443049702998879,0.7230512972570596
s2_v4,1853,1852,-0.7390612295164344,-0.1852319239926737,0.5528766416541643,7.15874823112745,9.088443992849433,1.9319750578844295,3.030807934952479,0.5011872873536931,0.7998675702182372
